PM10,NO2,SO2,AQI_Bucket
41.95,0.13,7.8,Satisfactory
48.07,0.24,7.67,Satisfactory
33.9,0.25,7.9,Satisfactory
49.19,0.26,8.11,Satisfactory
48.66,0.25,8.36,Satisfactory
39.84,0.21,8.25,Satisfactory
41.95,0.25,8.16,Good
33.51,0.08,8.79,Good
43.65,0.15,8.49,Good
42.17,0.3,8.78,Satisfactory
31.74,0.18,8.69,Good
45.79,0.31,7.81,Satisfactory
45.39,0.13,4.52,Satisfactory
35.53,0.17,4.77,Satisfactory
27.32,0.12,4.54,Good
33.24,0.39,5.3,Good
49.81,0.45,5.66,Satisfactory
48.87,0.51,5.71,Satisfactory
28.06,0.33,5.52,Good
19.85,0.36,5.43,Good
25.12,0.25,6.06,Good
14.73,0.11,6.4,Good
18.9,0.95,6.79,Good
20.94,0.75,6.62,Good
11.26,0.34,6.61,Good
14.56,0.26,6.96,Good
9.67,0.34,6.79,Good
5.83,0.2,7.47,Good
4.06,0.13,6.98,Good
9.88,0.27,7.21,Good
7.84,0.18,6.97,Good
6.78,0.17,7.23,Good
8.9,0.3,6.6,Good
12.97,0.35,6.47,Good
13.13,0.23,6.46,Good
9.88,0.08,6.42,Good
11.92,0.22,6.93,Good
14.63,0.25,7.6,Good
8.99,0.63,7.36,Good
6.85,0.18,8.04,Good
17.4,0.49,8.51,Good
19.14,0.34,8.6,Good
20.04,0.09,8.61,Good
31.71,0.69,8.87,Good
33.56,0.44,8.91,Good
28.88,0.6,8.41,Good
24.86,0.65,9.08,Good
19.67,0.35,9.06,Good
12.62,0.29,9.19,Good
18,0.12,9.84,Good
25.29,0.56,10.05,Good
24.52,0.48,9.84,Good
10.27,0.51,9.81,Good
14.44,0.34,10.1,Good
19.13,0.36,9.92,Good
21.52,0.27,10.88,Good
19.09,0.09,11.19,Good
14.84,0.28,11.14,Good
13.23,0.42,11.09,Good
4.32,0.62,11.13,Good
9.67,0.35,11.89,Good
7.84,0.47,11.24,Good
7.24,0.21,11.38,Good
7.45,0.08,11.58,Good
9.11,0.59,11.83,Good
8.56,0.21,12.13,Good
6.33,0.29,12.24,Good
4.57,0.22,12.61,Good
7.33,0.7,12.97,Good
6.19,0.15,12.82,Good
,0.09,12.16,Good
22.3,0.76,13,Good
13.04,0.13,13.48,Good
2.79,0.1,13.44,Good
6.11,0.31,13.53,
8.1,0.25,11.92,Good
5.8,0.07,8.11,Good
4.59,0.07,8.82,Good
4.99,0.07,8.52,Good
6.19,0.37,8.62,Good
1.99,0.33,5.65,Good
9.1,0.22,1.76,Good
19.02,0.26,2.84,Good
12.72,0.08,2.39,Good
9.03,0.06,2.33,Good
13.68,0.32,1.91,Good
13.65,0.38,0.95,Good
32.1,0.14,1.08,Good
28.92,0.16,1.03,Good
7.21,0.18,1.24,Good
3.16,0.07,1.08,Good
1.15,0.05,1.38,Good
10.02,0.13,2.03,Good
9.27,0.1,2.23,Good
5.39,0.07,2.07,Good
124.5,20.5,15.24,Moderate
129.06,26,26.96,Moderate
135.32,30.85,33.59,Moderate
104.09,28.07,19,Moderate
114.84,23.2,10.55,Moderate
114.86,20.17,14.07,Moderate
113.56,19.29,13.9,Moderate
140.2,26.19,19.37,Moderate
130.52,21.31,11.41,Poor
125,26.98,9.84,Moderate
121.77,20.23,14.02,Moderate
139.36,25.65,16.54,Poor
181.64,41.1,28.79,Poor
208.86,54.87,22.97,Very Poor
141.22,44.97,21.9,Moderate
102.77,33.85,13.65,Moderate
115.27,41.64,18.37,Moderate
131.48,42.1,7.42,Moderate
99.74,34.78,5.81,Moderate
98.94,29.97,5.8,Moderate
109.65,25,8.33,Moderate
129.81,40.92,8.51,Moderate
167.62,47.05,16.05,Poor
172.04,53.94,14.05,Poor
171.56,43.09,15.45,Poor
141.83,47.47,13.35,Poor
147.74,49.55,13.58,Moderate
152.59,56,29.88,Moderate
147.95,42,11.85,Moderate
167.75,47.68,10.85,Poor
171.47,31.06,12.23,Poor
170.21,43.54,18.07,Poor
192.2,63.48,17.01,Poor
175.16,64.53,15.52,Poor
138.6,46.65,9.47,Moderate
109.33,33.26,8.26,Moderate
131.62,39.5,11.45,Moderate
108.83,23.36,26.05,Moderate
109.82,23.14,12.81,Moderate
137.48,39.99,16.82,Moderate
174.75,53.79,16.93,Moderate
162.69,56.39,23.11,Poor
151.97,61.55,11.86,Poor
145.68,46.9,9.63,Poor
132.66,34.93,12.81,Poor
146.64,37.58,17.77,Poor
155.95,37.31,13.4,Poor
153.97,42.52,35.39,Poor
182.54,52.24,36.01,Poor
125.01,36.41,14.36,Poor
129.99,28.32,4.83,Moderate
115.53,21.35,8.75,Moderate
100.34,20.25,4.7,Moderate
104.45,26.26,6.43,Moderate
117.3,45.13,7.21,Moderate
116.14,45.4,8.83,Moderate
132.84,56.53,30.48,Moderate
141.85,38.15,11.04,Moderate
142.86,45.36,10.32,Moderate
138.14,45.43,10.18,Moderate
137.31,44.96,7.22,Moderate
155.73,59.92,31.01,Moderate
143.38,43.61,8.67,Moderate
131.14,43.84,7.62,Moderate
131.86,33.37,7.49,Moderate
135.97,35.82,12.16,Moderate
140.66,45.76,12.45,Moderate
147.48,61.52,23.68,Moderate
152.59,62.18,8.97,Moderate
130.36,45.52,10.61,Moderate
119.52,34.37,5.86,Moderate
115.65,35.16,8.16,Moderate
100.54,30.69,8.99,Moderate
101.1,28.53,5.86,Moderate
116.89,37.27,5.25,Satisfactory
120.05,26.96,17.9,Moderate
62.82,20.1,8.25,Satisfactory
66.74,16.83,5.87,Satisfactory
112.29,11.87,7.29,Moderate
99.73,12.85,7.62,Moderate
99.04,13.88,6.89,Moderate
107.96,16.71,12.91,Moderate
118.62,25.6,11.81,Moderate
128.81,25.03,25.39,Moderate
97.19,16.01,17.62,Moderate
80.24,17.35,9.53,Satisfactory
94.12,12.79,8.21,Satisfactory
99.84,16.33,10.34,Satisfactory
106.7,16.82,11.02,Satisfactory
107.43,17.33,11.81,Moderate
107.25,17.75,10.87,Moderate
127.26,19.14,10.82,Moderate
115.95,17.19,9.18,Moderate
107.74,20.85,13.97,Satisfactory
113.31,21.18,15.02,Moderate
116.06,19.02,22.7,Moderate
97,22.21,13.89,Satisfactory
83.16,18.83,8.98,Satisfactory
77.45,17.33,9.71,Satisfactory
82.67,22.81,12.63,Satisfactory
83.07,24.74,8.98,Satisfactory
103.81,26.29,9.68,Satisfactory
78.95,19.03,8.03,Satisfactory
124.64,28.85,10.21,Moderate
113.56,22.65,12.68,Moderate
102.46,19.92,6.82,Moderate
80.09,13.08,8.35,Satisfactory
75.3,19.07,7.75,Satisfactory
80.85,20.82,9.43,Satisfactory
60.67,15.22,8.63,Satisfactory
63.05,10.42,11.33,Satisfactory
39.94,8.18,6.37,Satisfactory
82.95,19.05,12.47,Satisfactory
80.01,20.43,10.57,Satisfactory
76.09,14.37,8.89,Satisfactory
76.61,18.83,7.04,Satisfactory
94.25,14.44,16.81,Satisfactory
95.41,14.79,15.55,Satisfactory
77.62,8.53,9.61,Satisfactory
71.26,6.99,3.69,Satisfactory
81.51,9.86,7.26,Satisfactory
67.22,11.29,13.19,Satisfactory
60.35,10.36,14.42,Satisfactory
52.51,7.68,13.63,Satisfactory
52.07,8.43,18.83,Satisfactory
55.8,6.86,12.97,Satisfactory
52.92,5.28,8.3,Satisfactory
52.06,14.33,9.95,Satisfactory
55.96,11.27,8.08,Satisfactory
54.59,9.65,8.7,Satisfactory
45.57,6.63,5.86,Satisfactory
70.25,10.84,7.4,Satisfactory
79.5,13.54,10.35,Satisfactory
55.74,8.86,6.71,Satisfactory
56.77,11.71,6.88,Satisfactory
26.39,5.22,6.62,Good
33.2,6.48,6.01,Good
23.83,3.54,5.97,Good
34.11,5.73,7.01,Good
27.27,5.86,6.69,Good
27.62,3.26,6.91,Good
49.86,4.9,7.64,Satisfactory
30.54,3.86,5.44,Good
62.52,12.71,7.38,Satisfactory
38.34,5.11,6.21,Good
33.83,4.84,7.51,Satisfactory
30.98,5.55,5.38,Satisfactory
53.85,6.96,7.09,Satisfactory
56.36,22.75,7.28,Satisfactory
39.45,14.17,6.37,Satisfactory
37.71,26.74,6.01,Good
36.29,6.9,9.19,Satisfactory
36.29,10.28,5.82,Satisfactory
42.22,5.94,7.31,Satisfactory
62.11,10,12.02,Satisfactory
54.13,14.93,9.43,Satisfactory
45.09,9.26,6.82,Moderate
28.33,9.05,7.27,Moderate
54.42,7.26,8.06,Satisfactory
56.44,13.88,7.3,Satisfactory
66.25,11.3,7.57,Satisfactory
37.35,8.59,6.09,Satisfactory
41.96,7.25,6.48,Moderate
44.72,7.72,5.99,Moderate
72.18,10.82,11.72,Moderate
83.29,10.17,6.4,Moderate
74.79,9.57,9.41,Moderate
84.96,11.57,4.53,Moderate
61.1,15.21,9.78,Moderate
57.28,19.38,6.83,Moderate
72.82,10.78,7.7,Moderate
70.21,13.18,7.28,Moderate
55.74,18.42,6.22,Satisfactory
31.22,13.9,5.87,Satisfactory
29.24,10.45,6.37,Satisfactory
24.79,9.03,5.82,Satisfactory
35.39,6.11,7.1,Satisfactory
47.81,10.06,5.81,Satisfactory
57.11,13.82,6.68,Satisfactory
68.27,15.08,6.36,Satisfactory
103.88,11.83,8.41,Satisfactory
107.31,13.57,8.66,Moderate
69.96,10.96,5.29,Moderate
78.11,8.32,9,Satisfactory
68.72,7.85,6.66,Satisfactory
55.59,9.13,6.18,Satisfactory
59.46,11.31,5.43,Satisfactory
55.66,11.7,5.53,Satisfactory
50.06,12.39,7.62,Moderate
43.47,11.42,6.86,Satisfactory
45.11,7.26,6.14,Satisfactory
60.89,7.4,6.76,Satisfactory
48.26,8.54,7.12,Satisfactory
54.97,10.6,7.55,Satisfactory
33.5,17.41,4.72,Satisfactory
49.43,13.66,5.51,Satisfactory
49.14,12.76,7.54,Satisfactory
46.59,16.64,5.01,Satisfactory
41.99,15.53,6.62,Satisfactory
38.79,13.96,4.9,Satisfactory
69.33,13.23,5.6,Satisfactory
48.97,10.72,6.52,Satisfactory
41.01,17.63,6.53,Satisfactory
32.02,6.82,4.65,Satisfactory
26.94,5.31,5.17,Satisfactory
38.25,7.43,5.69,Satisfactory
38.17,6.81,5.36,Satisfactory
30.98,6.37,6.75,Satisfactory
25.24,7.16,8.77,Satisfactory
30.86,7.74,6.45,Good
29.97,7.5,6.02,Good
26.62,5.01,6.29,Good
24.01,6.56,7.42,Good
28.62,8.7,10.4,Good
41.47,11.13,9.94,Good
49.26,9.81,8.98,Good
35.5,12.77,9.81,Good
47.61,14.95,6.51,Satisfactory
50.6,7.8,12.46,Satisfactory
56.44,16.26,11.83,Satisfactory
68.97,16.25,10.42,Satisfactory
82.27,15.45,9.13,Satisfactory
46.76,7.75,10.97,Satisfactory
80.26,20.1,10.98,Satisfactory
76.32,20.63,9.64,Satisfactory
98.01,24.83,6.69,Satisfactory
112.48,23.91,12.6,Moderate
91.71,16.41,6.74,Satisfactory
51.48,18.33,12.46,Satisfactory
70.1,21.95,8.64,Satisfactory
75.21,15.65,11.1,Satisfactory
80,28.8,2.9,Satisfactory
52.91,16.89,11.49,Moderate
40.15,16.05,9.02,Good
57.71,25.46,12.33,Good
28.72,11.2,9.47,Good
19.96,9.32,10.32,Good
15.83,8.58,8.72,Good
16.42,7.85,8.12,Satisfactory
20.5,8.92,8.35,Satisfactory
45.04,10.48,8.93,Satisfactory
23.71,6.74,8.39,Satisfactory
24.61,7.96,11.82,Satisfactory
32.52,6.6,9.47,Satisfactory
14.17,6.04,8.12,Satisfactory
27.28,11.69,9.05,Moderate
7.8,7.66,8.39,Satisfactory
40.74,19.03,9.46,Satisfactory
60.26,20.45,10.01,Satisfactory
43.47,14.59,10.12,Satisfactory
23.92,13.33,9.24,Satisfactory
43.47,16.04,9.76,Satisfactory
57.46,16.8,8.89,Satisfactory
81.89,19.36,9.78,Satisfactory
69.22,19.99,11.98,Satisfactory
62.75,21.34,11.17,Satisfactory
76.16,24.63,11.64,Satisfactory
78.68,23.75,11.8,Satisfactory
86.08,26.49,11.54,Satisfactory
71.36,17.14,12.89,Moderate
81.43,21.87,11.73,Satisfactory
101.05,25.22,11.06,Satisfactory
89.38,21.31,10.21,Moderate
75.5,32.4,8.91,Satisfactory
82.62,23.58,10.9,Moderate
66.97,17.56,11.29,Satisfactory
67.4,20.86,8.91,Satisfactory
69.39,18.65,9.58,Satisfactory
34.83,16.1,10.48,Satisfactory
52.84,17.41,11.24,Satisfactory
80.97,26.27,13.38,Satisfactory
71.42,21.04,6.28,Satisfactory
50.33,13.45,14.1,Satisfactory
50.18,12.18,12.28,Satisfactory
50.51,14.01,14.67,Satisfactory
60.44,22.94,27,Satisfactory
45.81,27.49,13.47,Satisfactory
37.31,28.22,17.33,Satisfactory
41.04,15.29,14.92,Satisfactory
42.61,14.9,11.9,Satisfactory
37.07,12.51,8.48,Good
30.1,13.81,7.25,Good
56.44,17.79,12.41,Satisfactory
109.35,25.91,14.31,Satisfactory
163.06,36.24,10.92,Moderate
184.84,52.69,25.5,Moderate
172.08,26.45,31.74,Moderate
122.69,29.54,24.37,Moderate
116.44,28.13,16.73,Moderate
102.6,24.58,10.6,Moderate
76.61,27.36,9.33,Satisfactory
72.03,25.38,10.8,Satisfactory
48.93,18.92,10.51,Satisfactory
155.98,25.88,11.32,Moderate
130.58,25.81,19.34,Moderate
128.8,36.38,13.43,Moderate
167.05,45.82,23.42,Moderate
119.1,38.23,15.52,Moderate
115.41,36.77,28.74,Moderate
125.68,36.24,14.54,Moderate
65.58,19.63,10.4,Satisfactory
38.49,30.66,8.59,Satisfactory
36.56,26.48,10.19,Good
68.71,39.44,10.43,Satisfactory
64.84,39.56,10.33,Satisfactory
71.27,45.23,10.36,Satisfactory
111.28,57.93,12.3,Moderate
115.5,62.91,18.89,Moderate
129.41,65,25.14,Moderate
164.24,80.74,30.44,Moderate
173.47,75.54,30.69,Moderate
160.66,89.44,38.91,Moderate
48,43.42,7.51,Satisfactory
46.57,35.92,7.49,Satisfactory
66.67,38.81,9.65,Satisfactory
100.01,38.27,12.15,Satisfactory
100.82,47.93,16.66,Moderate
183.15,97.16,17.17,Moderate
190.73,105.22,20.78,Moderate
152.44,89.01,15.71,Poor
159.49,90.28,14.21,Moderate
125.4,68.12,13.87,Moderate
129.57,69.78,14.03,Moderate
143.69,86.95,13.62,Moderate
137.58,76.89,14.31,Poor
139.02,85.21,13.06,Poor
155.25,92.4,10.86,Poor
172.67,92.9,11.12,Poor
170.04,76.7,10.17,Poor
162.72,72.27,9.58,Poor
160.83,72.19,11.7,Poor
163.9,77.58,13.75,Poor
160.28,79.86,18.13,Poor
164.19,74.89,17.68,Moderate
174.31,57.77,23.81,Poor
137.52,50.62,23.87,Poor
22.54,30.38,10.94,Satisfactory
19.98,28.6,12.41,Good
33.04,39.69,44.59,Good
69.23,67.05,57.72,Good
